,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_sweeteners,sugar_crops,treenuts,vegetable_oils,vegetables,vegetal_products,Unit (all except Population)
104,Africa,Nigeria,253181,1186.408,3136,,,213401323,209.588,18.1,2.751,5338.454,,181.013,2.42,0.6,10.8,,54.69,0.539,8.9,4.0037,0.0151,1.7391,0,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.0437,0.0627,0.4763,0.8311,0.1715,19.5271,0.0064,0.6501,0,0.0841,0.8573,6.2627,48.2585,%
105,Europe,North Macedonia,268901,127845.369,8409,,,2103330,82.6,39.1,13.26,13111.214,5,322.688,10.08,,,4.28,75.8,0.774,22.4,1.9045,0.3784,12.0639,0,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,0.2959,0.1773,0.3253,0.2847,0.1288,3.6779,0.2474,2.9104,0,0.1796,0.9505,14.5512,37.933,%
106,Europe,Norway,781049,144557.832,1440,11038015,73.99,5403021,14.462,39.7,16.821,64800.057,0.2,114.316,5.31,19.6,20.7,3.6,82.4,0.957,23.1,3.7939,0.6119,21.1992,0.0005,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,3.6634,0.0893,0.3113,0.3204,0.0235,2.8097,0.4819,2.2652,0,0.099,0.8697,3.9131,28.7933,%
107,Asia,Oman,338880,74965.64,4146,6600551,65.64,4520471,14.98,30.7,2.355,37960.709,,266.342,12.61,0.5,15.6,1.6,77.86,0.813,27,0.2621,0.0571,13.5101,0,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,0.0423,0.1888,0.1338,0.2776,0.2297,1.6984,0.1395,2.5903,0.0077,0.0521,0.6995,10.8902,36.486,%
108,Asia,Pakistan,1430366,6181.3,29301,,,231402116,255.573,23.5,4.495,5034.708,4,423.031,8.35,2.8,36.7,0.6,67.27,0.557,8.6,0.0085,0.0969,22.2758,0.0011,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,0.0117,0.1969,0.3577,0.6993,0.1618,1.8202,0.5258,2.6707,1.7915,0.0852,0.3417,2.2173,27.7226,%
109,North America,Panama,697124,160211.727,7716,,,4351267,55.133,29.7,7.918,22267.037,2.2,128.346,8.33,2.4,9.9,2.3,78.51,0.815,22.7,6.6254,0.2467,12.3346,0.0031,14.2627,0.4604,1.005,6.6783,4.98,5.353,0.7431,0.2873,0.4589,0.4129,0.0153,1.3758,0.1195,4.2277,0,0.036,0.7645,1.948,37.6619,%
110,South America,Paraguay,583662,87064.365,17321,,,6703799,17.144,26.5,6.378,8827.01,1.7,199.128,8.27,5,21.6,1.3,74.25,0.728,20.3,3.9095,0.2191,11.2654,0,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,0.1788,0.4675,0.2745,0.6185,0.0082,12.5302,1.0112,2.4084,0,0.0015,1.0733,3.7113,38.726,%
111,South America,Peru,3239538,96084.611,205834,57710367,69.59,33715472,25.129,29.1,7.151,12236.706,3.5,85.755,5.95,4.8,,1.6,76.74,0.777,19.7,3.8623,0.0316,8.6638,0.0014,11.814,0.6431,1.7993,8.5783,1.754,4.0729,0.0719,0.3629,0.2458,0.6367,0.0172,8.7924,0.2501,1.7339,0,0.023,0.5066,4.8044,41.3344,%
112,Asia,Philippines,3560202,31262.66,54003,126951502,51.83,113880328,351.873,25.2,4.803,7599.188,,370.437,7.07,7.8,40.8,1,71.23,0.718,6.4,1.9716,0.3074,6.7108,0,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,0.1925,0.2717,0.5425,0.1106,0.034,2.8773,0.5399,2.3774,0,0.1838,0.4119,5.4481,43.2905,%
113,Europe,Poland,4886154,127550.093,105194,51658515,56.77,38307726,124.027,41.8,16.763,27216.445,,227.331,5.91,23.3,33.1,6.62,78.73,0.88,23.1,6.8201,0.9842,16.559,0,7.9033,0.3702,0.5845,3.0079,4.85,9.7542,0,0.017,0.0798,0.1099,0.0202,5.5631,0.1509,2.4775,0,0.0476,0.3959,6.8655,33.439,%
114,Europe,Portugal,2689167,261335.285,19905,,,10290103,112.371,46.2,21.502,27936.896,0.5,127.842,9.85,16.3,30,3.39,82.05,0.864,20.8,4.7147,0.4077,18.6614,0.0005,6.2984,0.4053,2.7295,6.5126,4.5168,10.3936,0.1393,0.2079,0.0965,0.1618,0.0173,3.106,0.2684,1.7316,0,0.2319,0.7246,7.3366,31.3374,%
115,Europe,Romania,2216525,114676.158,60025,16432047,41.27,19328560,85.129,43,17.85,23313.199,5.7,370.946,9.74,22.9,37.1,6.892,76.05,0.828,22.5,4.7679,0.3474,15.9287,0,8.0412,0.6848,0.2844,4.2115,3.0499,11.4018,0.2567,0.1594,0.0974,0.1045,0.1274,4.713,0.1398,1.4126,0,0.1093,0.7301,9.3641,34.0679,%
116,Africa,Rwanda,128891,9574.511,1440,,,13461888,494.869,20.3,2.974,1854.211,56,191.375,4.28,4.7,21,,69.02,0.543,5.8,1.3631,0.0186,2.6366,0,3.538,0.0269,0.5279,15.7285,0.6257,1.3521,0.0283,0.0855,0.2233,2.5036,0.0179,20.4415,0.011,0.5782,0,0,0.2109,2.7193,47.3634,%
117,North America,Saint Kitts and Nevis,5422,113893.207,33,,,47606,212.865,,,24654.385,,,12.84,,,2.3,76.23,0.779,22.9,4.0867,0.1735,14.0252,0,6.3135,0.3868,3.4174,7.5449,7.8207,1.895,1.5442,0.3318,0.947,0.5422,0.0901,2.715,0.0749,6.4623,0,0.0673,1.385,4.209,35.9677,%
118,North America,Saint Lucia,20942,116569.813,328,108090,28.43,179652,293.187,34.9,9.721,12951.839,,204.62,11.62,,,1.3,76.2,0.759,19.7,7.8024,0.0252,14.8893,0.0009,7.2091,0.3326,3.0652,5.9453,8.17,2.8881,1.6054,0.4063,0.6274,0.5663,0.178,2.6427,0.0602,3.7043,0,0.0575,0.6103,4.1169,35.0964,%
119,North America,Saint Vincent and the Grenadines,7903,75748.572,94,64440,26.55,104332,281.787,31.8,7.724,10727.146,,252.675,11.62,,,2.6,72.53,0.738,23.7,2.526,0.022,11.0865,0,9.0142,0.3412,1.3785,10.471,6.9184,2.2593,1.9325,0.1672,0.1049,0.6452,0.2113,4.3734,0.2933,3.4592,0,0.0357,0.7227,5.1371,38.9005,%
120,Oceania,Samoa,32,146.276,,,,218764,69.413,22,5.606,6021.557,,348.977,9.21,16.7,38.1,,73.32,0.715,47.3,1.4236,0.2262,11.163,0.1236,3.6768,0.1314,2.7788,10.7845,5.7993,1.9647,0.7751,0.1398,10.5187,0,0.0582,7.6944,0.1344,2.0811,0.0036,0.0108,0.5117,1.1656,38.8349,%
121,Africa,Sao Tome and Principe,5890,26399.889,69,,,223107,212.841,18.7,2.886,3052.714,32.3,270.113,2.42,,,2.9,70.39,0.625,12.4,1.5187,0.022,4.1199,0,7.3796,0.0562,2.3033,18.2736,1.2054,0.5152,0.424,0.0187,9.9865,0.3109,0.0293,3.7154,0.0073,2.5939,0,0.0024,0.7805,0.857,45.8801,%
122,Asia,Saudi Arabia,687264,19117.008,8940,57328405,65.92,35950396,15.322,31.9,3.295,49045.411,,259.538,17.72,1.8,25.4,2.7,75.13,0.854,35.4,0,0.3917,12.9962,0,16.3284,0.6003,1.0369,7.0413,4.9529,5.8598,0.669,0.1547,0.1492,0.4768,0.2434,1.4542,0.205,2.8571,0.0009,0.1135,1.7626,5.7024,37.0038,%
123,Africa,Senegal,84999,5036.464,1946,,,16876720,82.328,18.7,3.008,2470.58,38,241.219,2.42,0.4,16.6,,67.94,0.512,8.8,0.3209,0.0353,5.3434,0,25.9204,0.1878,2.0588,2.3456,1.6081,1.2496,0.0148,0.206,0.7637,0.4712,0.0717,2.6177,0.1161,2.0941,0,0.1047,1.9325,7.8951,44.6423,%
124,Europe,Serbia,1677798,244165.979,13629,8402695,47.23,6871547,80.291,41.2,17.366,14048.881,,439.415,10.08,37.7,40.2,5.609,76,0.806,21.5,4.392,0.2524,16.7466,0,9.7485,0.6322,0.4148,5.9753,3.5893,11.619,0.0067,0.2389,0.1322,0.1805,0.0242,2.545,0.243,2.0255,0.0007,0.1268,0.4644,7.3941,33.2476,%
125,Africa,Sierra Leone,7623,905.276,125,,,8420641,104.7,19.1,2.538,1390.3,52.2,325.721,2.42,8.8,41.3,,54.7,0.452,8.7,0.3009,0.0067,5.6877,0,19.9349,0.1343,2.5044,3.2119,0.7837,2.1711,0.2504,0.0857,0.5999,0.8913,0.0638,12.4228,0.0762,0.6323,0,0.1,1.276,4.5526,44.3138,%
