,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage
127,Oceania,Papua New Guinea,36866.0,3705.335,597.0,522939.0,2.32,9949437.0,18.22,22.6,3.808,3823.194,0.0,561.494,17.65,23.5,48.8,0.0,64.5,0.555,21.3
128,South America,Paraguay,583662.0,87064.365,17321.0,0.0,0.0,6703799.0,17.144,26.5,6.378,8827.01,1.7,199.128,8.27,5.0,21.6,1.3,74.25,0.728,20.3
129,South America,Peru,3239538.0,96084.611,205834.0,57710367.0,69.59,33715472.0,25.129,29.1,7.151,12236.706,3.5,85.755,5.95,4.8,0.0,1.6,76.74,0.777,19.7
130,Asia,Philippines,3560202.0,31262.66,54003.0,126951502.0,51.83,113880328.0,351.873,25.2,4.803,7599.188,0.0,370.437,7.07,7.8,40.8,1.0,71.23,0.718,6.4
131,Europe,Poland,4886154.0,127550.093,105194.0,51658515.0,56.77,38307726.0,124.027,41.8,16.763,27216.445,0.0,227.331,5.91,23.3,33.1,6.62,78.73,0.88,23.1
132,Europe,Portugal,2689167.0,261335.285,19905.0,0.0,0.0,10290103.0,112.371,46.2,21.502,27936.896,0.5,127.842,9.85,16.3,30.0,3.39,82.05,0.864,20.8
133,Asia,Qatar,339147.0,126159.729,645.0,5819013.0,0.0,2688235.0,227.322,31.9,1.307,116935.6,0.0,176.69,16.52,0.8,26.9,1.2,80.23,0.848,35.1
134,Europe,Romania,2216525.0,114676.158,60025.0,16432047.0,41.27,19328560.0,85.129,43.0,17.85,23313.199,5.7,370.946,9.74,22.9,37.1,6.892,76.05,0.828,22.5
135,Africa,Rwanda,128891.0,9574.511,1440.0,0.0,0.0,13461888.0,494.869,20.3,2.974,1854.211,56.0,191.375,4.28,4.7,21.0,0.0,69.02,0.543,5.8
136,North America,Saint Kitts and Nevis,5422.0,113893.207,33.0,0.0,0.0,47606.0,212.865,0.0,0.0,24654.385,0.0,0.0,12.84,0.0,0.0,2.3,76.23,0.779,22.9
137,North America,Saint Lucia,20942.0,116569.813,328.0,108090.0,28.43,179652.0,293.187,34.9,9.721,12951.839,0.0,204.62,11.62,0.0,0.0,1.3,76.2,0.759,19.7
138,North America,Saint Vincent and the Grenadines,7903.0,75748.572,94.0,64440.0,26.55,104332.0,281.787,31.8,7.724,10727.146,0.0,252.675,11.62,0.0,0.0,2.6,72.53,0.738,23.7
139,Oceania,Samoa,32.0,146.276,0.0,0.0,0.0,218764.0,69.413,22.0,5.606,6021.557,0.0,348.977,9.21,16.7,38.1,0.0,73.32,0.715,47.3
140,Africa,Sao Tome and Principe,5890.0,26399.889,69.0,0.0,0.0,223107.0,212.841,18.7,2.886,3052.714,32.3,270.113,2.42,0.0,0.0,2.9,70.39,0.625,12.4
141,Asia,Saudi Arabia,687264.0,19117.008,8940.0,57328405.0,65.92,35950396.0,15.322,31.9,3.295,49045.411,0.0,259.538,17.72,1.8,25.4,2.7,75.13,0.854,35.4
142,Africa,Senegal,84999.0,5036.464,1946.0,0.0,0.0,16876720.0,82.328,18.7,3.008,2470.58,38.0,241.219,2.42,0.4,16.6,0.0,67.94,0.512,8.8
143,Europe,Serbia,1677798.0,244165.979,13629.0,8402695.0,47.23,6871547.0,80.291,41.2,17.366,14048.881,0.0,439.415,10.08,37.7,40.2,5.609,76.0,0.806,21.5
144,Africa,Seychelles,37190.0,349300.272,154.0,0.0,0.0,106470.0,208.354,36.2,8.606,26382.287,1.1,242.648,10.55,7.1,35.7,3.6,73.4,0.796,14.0
145,Africa,Sierra Leone,7623.0,905.276,125.0,0.0,0.0,8420641.0,104.7,19.1,2.538,1390.3,52.2,325.721,2.42,8.8,41.3,0.0,54.7,0.452,8.7
146,Asia,Singapore,352811.0,64693.23,855.0,12704928.0,84.58,5453600.0,7915.731,42.4,12.922,85535.383,0.0,92.243,10.99,5.2,28.3,2.4,83.62,0.938,6.1
147,Europe,Slovakia,1569299.0,288070.465,17830.0,0.0,0.0,5447622.0,113.128,41.2,15.07,30155.152,0.7,287.959,7.29,23.1,37.7,5.82,77.54,0.86,20.5
148,Europe,Slovenia,710821.0,335386.263,5866.0,2915311.0,57.08,2119410.0,102.619,44.5,19.062,31400.84,0.0,153.493,7.25,20.1,25.0,4.5,81.32,0.917,20.2
149,Oceania,Solomon Islands,1183.0,1671.256,9.0,271063.0,10.71,707851.0,21.841,20.8,3.507,2205.923,25.1,459.78,18.68,0.0,0.0,1.4,73.0,0.567,22.5
150,Africa,Somalia,25388.0,1487.673,1335.0,0.0,0.0,17065581.0,23.5,16.8,2.731,0.0,0.0,365.769,6.05,0.0,0.0,0.9,57.4,0.0,8.3
151,Africa,South Africa,3605222.0,60701.888,95093.0,29884699.0,27.99,59392255.0,46.754,27.3,5.344,12294.876,18.9,200.38,5.52,8.1,33.2,2.32,64.13,0.709,28.3
152,not_applicable,South America,48594520.0,111980.12,1215879.0,721172842.0,68.22,433956670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
153,Europe,Spain,9961253.0,209768.287,93225.0,90272896.0,80.64,47486935.0,93.105,45.5,19.436,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904,23.8
154,Asia,Sri Lanka,611185.0,28070.207,15441.0,35764626.0,63.92,21773441.0,341.955,34.1,10.069,11669.077,0.7,197.093,10.68,0.3,27.0,3.6,76.98,0.782,5.2
155,South America,Suriname,73769.0,120344.087,1263.0,0.0,0.0,612984.0,3.612,29.6,6.933,13767.119,0.0,258.314,12.54,7.4,42.9,3.1,71.68,0.738,26.4
